ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Who,Other - Who,Region,Other - Region,Date/Time,Security Presence,Other - Security Presence,Cleaning Evidence,Other - Cleaning Evidence,Signs-Assistance,Other - Signs-Assistance,Signs-Other,Other - Signs-Other,Flagging,Other - Flagging,Notes about this datum,x,y,Sign Category-Bin1,Sign Category Sentiment-Bin2,Sign Category Overall Sentiment-Bin 3,Signs Within Same Image,Post-Fire Period (Years)
306,7581adc2-a2ff-4761-a300-d38a3bd830d3,57:30.3,sean.anderson_CSUCIGIS,18:52.7,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/27/25 23:43,,,,,,,Construction/Rebuilding,,,,Rebuilding,-118.6520371,34.03833079,Rebuilding-Construction Sign,Rebuilding,positive,1,1
307,1cb58c22-8959-408d-852c-6fef1fef8c08,57:33.0,sean.anderson_CSUCIGIS,57:33.0,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/27/25 23:44,,,,,,,,,,,Army Corps Left Over Debris Clean-Up Ad,-118.6440052,34.03838684,Rebuilding-Critical of Feds,Rebuilding,positive,1,1
308,4255e486-12e7-435b-b514-68908e979041,57:35.1,sean.anderson_CSUCIGIS,14:03.0,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/27/25 23:44,,,,,,,For_Sale-Ad,,,,"For Sale sign on PCH, ocean side",-118.6393536,34.03741121,For Sale,Sale Offer,negative,1,1
309,eca8631f-0af2-4f68-95c7-34c2b1447200,57:37.2,sean.anderson_CSUCIGIS,15:24.7,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/27/25 23:46,,,,,,,Construction/Rebuilding,,,,,-118.6302023,34.03751154,Rebuilding-Construction Sign,Rebuilding,positive,1,1
310,8ab65c90-c039-4fc3-ae1c-9f81a24cc4e7,57:38.4,sean.anderson_CSUCIGIS,17:20.6,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/27/25 23:46,,,,,,,For_Sale-Ad,,,,2 for sale signs,-118.622393,34.03810331,For Sale,Sale Offer,negative,1,1
311,95226a23-4460-4aee-a66b-b715f5ba285d,57:39.6,sean.anderson_CSUCIGIS,57:39.6,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/27/25 23:48,,,,,,,,,,,Contractor,-118.5881789,34.03932321,Rebuilding-Construction Sign,Rebuilding,positive,1,1
312,bf93a213-64ef-4c36-8187-6c9954972ffa,57:41.7,sean.anderson_CSUCIGIS,36:40.4,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/27/25 23:50,,,,,"Federal,State",,other,,,,Sign about the rules contractors must follow,-118.5796889,34.04002963,Warnings-Avoid Scams,Education,positive,1,1
313,06602b14-b202-41e0-b496-e253ed4be777,57:43.1,sean.anderson_CSUCIGIS,20:36.8,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/27/25 23:53,Police,,,,,,,,,,LA County Sheriff parked on side of PCH,-118.5666551,34.04160713,,,,,
314,856e7f4d-8b64-47f5-81e1-5eb55d46a751,57:46.2,sean.anderson_CSUCIGIS,25:06.8,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/27/25 23:59,,,,,Private_Sector-Clean-Up,,"Critical_of_Gov't,Construction/Rebuilding",,,,"Palisades Strong ""Opt Out Here"" We clean-up what ACOE left behind.  Hard to say if this is officially critical of Trump, but it is critical of the Army Corps of Engineers.  This speaks specifically to the lack of trust in the federal clean-up.",-118.5432323,34.04810216,Rebuilding-Critical of Feds,Rebuilding,positive,1,1
315,62fd75bd-123e-48cd-ab04-8e78449cdd6c,57:48.6,sean.anderson_CSUCIGIS,28:00.4,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/27/25,,,,,,,"Pro-Community,other",Religious-Prayer,,,Sign for Palisades Presbyterian Church: It is Alive and well and praying for the Palisades.,-118.5334504,34.04875507,Religious Appeal,Religion,positive,1,1
316,7a195074-f6f6-461d-91bb-2ab95bfa2ffb,57:49.8,sean.anderson_CSUCIGIS,30:00.2,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/28/25 0:03,,,,,Private_Sector-other,,Construction/Rebuilding,,,,"Chase Bank is underwriting loans for rebuilding ""our community.""   Seems self-serving.",-118.5242548,34.04603832,Rebuilding-Construction Sign,Rebuilding,positive,1,1
317,f8560068-1dfc-48e6-b718-88acd72b778d,57:50.9,sean.anderson_CSUCIGIS,47:29.6,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/28/25 0:06,,,,,,,Trespass_Warning,,,,Maximum Security Sign,-118.5129198,34.05088968,Security-Stay Away,Security-Negative,negative,1,1
318,6ed65b8c-58fa-42d4-a728-4a3bb7436b0b,57:52.9,sean.anderson_CSUCIGIS,32:54.9,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/28/25 0:10,,,,,,,Trespass_Warning,,,,Closed to public,-118.5140167,34.04854294,Security-Stay Away,Security-Negative,negative,1,1
319,6577f91a-a0f1-4f93-8dcf-3628073132ee,57:54.6,sean.anderson_CSUCIGIS,47:47.7,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/28/25 0:11,,,,,,,Pro-Community,,,,Palisades-don’t quit,-118.5136247,34.04900797,Pro-Community Strong,Pro-Community,positive,1,1
320,075efc76-93c5-4ca9-8af0-010ac6e31810,57:57.1,sean.anderson_CSUCIGIS,34:23.3,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/28/25 0:12,,,,,,,For_Sale-Ad,,,,For sale,-118.5135707,34.05020058,For Sale,Sale Offer,negative,1,1
321,6780d53a-aed3-49ae-9076-2a6857d89087,57:59.0,sean.anderson_CSUCIGIS,37:17.8,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/28/25 0:15,,,,,,,Pro-Community,,,,Palisades Forever flag,-118.5190447,34.04259859,Pro-Community Strong,Pro-Community,positive,1,1
322,5201aa52-8fcf-499e-bece-ce3b1efaee4a,58:00.4,sean.anderson_CSUCIGIS,58:00.4,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/28/25 0:16,,,,,,,Trespass_Warning,,,,Premises under surveillance,-118.5190413,34.04259639,Security-Stay Away,Security-Negative,negative,1,1
323,549ad124-3706-4db6-a3c8-2579a3f77de8,58:02.7,sean.anderson_CSUCIGIS,40:04.5,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/28/25 0:17,,,,,,,Construction/Rebuilding,,,,,-118.5195227,34.0447456,Rebuilding-Construction Sign,Rebuilding,positive,1,1
324,9f2cb2fe-ec00-43e5-9354-7a44ff189f27,58:03.9,sean.anderson_CSUCIGIS,41:47.3,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/28/25 0:18,,,,,,,"Pro-Community,Construction/Rebuilding",,,,Multiple signs: Pro Community & Construction sign,-118.5199427,34.04666087,Rebuilding-Construction Sign,Rebuilding,positive,1,1
325,665b4a2d-600b-42e0-aa89-05205adf17cf,58:06.8,sean.anderson_CSUCIGIS,42:29.7,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/28/25 0:19,,,,,,,Construction/Rebuilding,,,,,-118.5202203,34.04789095,Rebuilding-Construction Sign,Rebuilding,positive,1,1
326,871cc6c4-780b-46b5-9fb7-8a5bb683c81e,58:08.7,sean.anderson_CSUCIGIS,43:18.6,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/28/25 0:20,,,,,,,Construction/Rebuilding,,,,"Fancy construction sign with columns, artificial turf, etc.",-118.5206158,34.04960229,Rebuilding-Construction Sign,Rebuilding,positive,1,1
327,2c6c07f8-bebc-4884-8c4c-673d739e4617,58:11.7,sean.anderson_CSUCIGIS,58:11.7,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/28/25 0:21,,,,,,,Construction/Rebuilding,,,,High Standard Exterior Sprinklers,-118.5207044,34.0500539,Rebuilding-Construction Sign,Rebuilding,positive,1,1
328,aa5617dd-036f-4ad3-8308-731d1306e936,58:14.0,sean.anderson_CSUCIGIS,44:18.4,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/28/25 0:23,,,,,,,Construction/Rebuilding,,,,Top Not Air Conditioning & Heating,-118.5243784,34.05140919,Rebuilding-Construction Sign,Rebuilding,positive,1,1
329,fa6fc0c0-4a72-4d4c-a26f-00f6f51f2bd1,58:16.4,sean.anderson_CSUCIGIS,58:16.4,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/28/25 0:24,,,,,,,Construction/Rebuilding,,,,Cooling & Heating,-118.5250565,34.05050589,Rebuilding-Construction Sign,Rebuilding,positive,1,1
330,96c2f3fc-53d9-45de-b2ad-88205ccbdfe6,58:18.2,sean.anderson_CSUCIGIS,45:13.7,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/28/25 0:26,,,,,,,Construction/Rebuilding,,,,,-118.5242736,34.04713837,Rebuilding-Construction Sign,Rebuilding,positive,1,1
331,d294e48d-52a0-49ea-b21e-5c77eefdce52,58:18.9,sean.anderson_CSUCIGIS,54:48.1,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/28/25 0:49,Police,,,,,,,,,,CHP on side of PCH,-118.6549168,34.03891718,,,,,
332,d6247e80-9e24-4c4a-b4cf-1ba40ae6cfb8,58:19.3,sean.anderson_CSUCIGIS,58:19.3,sean.anderson_CSUCIGIS,Sean Anderson,,Palisades,,12/28/25 0:55,Police,,,,,,,,,,LA County Sheriff,-118.7020716,34.03891238,,,,,
333,ace055f5-79ec-4fe3-a8f5-092ff6f46232,54:55.6,sean.anderson_CSUCIGIS,54:55.6,sean.anderson_CSUCIGIS,Sean Anderson,,Eaton,,12/29/25 21:53,,,,,Private_Sector-Lawyers,,Pro-Community,,,,Anti-ICE Round-up Info,-118.1594256,34.17984379,Pro-Community Strong,Pro-Community,positive,1,1
